reference_role,inference_role,reference_name,inference_name
REACTANT,REACTANT,ethyl chloroformate,ethyl chloroformate
SOLVENT,SOLVENT,benzene,benzene
REACTANT,COMPOUND_MISSING,sodium hydroxide,COMPOUND_MISSING
REACTANT,REACTANT,"N-[(1S,2S)-2-aminocyclopentyl]-2,6-m dimethoxybenzamide hydrochloride","N-[(1S,2S)-2-aminocyclopentyl]-2,6-m dimethoxybenzamide hydrochloride"
REACTANT,REACTANT,Intermediate 5,Intermediate 5
REACTANT,REACTANT,DIPEA,DIPEA
REACTANT,REACTANT,2-chloro-5-(trifluoromethyl)pyrimidine,2-chloro-5-(trifluoromethyl)pyrimidine
SOLVENT,SOLVENT,NMP,NMP
REACTANT,REACTANT,"N-[8-(2-chloro-5-piperidin-4-ylethynyl-phenyl)-4,5-dihydro-thiazolo[4,5-h]quinazolin-2-yl]-acetamide","N-[8-(2-chloro-5-piperidin-4-ylethynyl-phenyl)-4,5-dihydro-thiazolo[4,5-h]quinazolin-2-yl]-acetamide"
REACTANT,REACTANT,acetic acid,acetic acid
REACTANT,REACTANT,"O-(1H-benzotriazol-1-yl)-N,N,N′,N′-tetramethyluronium tetrafluoroborate","O-(1H-benzotriazol-1-yl)-N,N,N′,N′-tetramethyluronium tetrafluoroborate"
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,SOLVENT,diisopropylethylamine,diisopropylethylamine
REACTANT,REACTANT,benzoyl chloride,benzoyl chloride
REACTANT,REACTANT,aluminium chloride,aluminium chloride
REACTANT,REACTANT,1-(4-chloroanilino)phthalazine,1-(4-chloroanilino)phthalazine
SOLVENT,SOLVENT,dichloromethane,dichloromethane
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,trimethylsilyl cyanide,trimethylsilyl cyanide
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,"(2S,5R)-5-(N-(allyloxy)-2-nitrophenylsulfonamido)-1-(tert-butoxycarbonyl)-4-methyl-1,2,5,6-tetrahydropyridine-2-carboxylic acid","(2S,5R)-5-(N-(allyloxy)-2-nitrophenylsulfonamido)-1-(tert-butoxycarbonyl)-4-methyl-1,2,5,6-tetrahydropyridine-2-carboxylic acid"
REACTANT,REACTANT,Intermediate 19,Intermediate 19
REACTANT,REACTANT,ammonium chloride,ammonium chloride
REACTANT,REACTANT,HATU,HATU
REACTANT,REACTANT,DIEA,DIEA
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,"4-(5-chloro-2-methyl-2,3-dihydro-furo[2,3-c]pyridin-2-yl)-piperidine-1-carboxylic acid tert-butyl ester","4-(5-chloro-2-methyl-2,3-dihydro-furo[2,3-c]pyridin-2-yl)-piperidine-1-carboxylic acid tert-butyl ester"
REACTANT,REACTANT,4-(methanesulfonyl)phenylboronic acid,4-(methanesulfonyl)phenylboronic acid
REACTANT,REACTANT,"8-(4-fluorobenzyl)-2-(4-pyridinylmethyl)-10-toluenesulfonyloxy-3,4,7,8-tetrahydropyrido-[3′,4′:4,5]pyrrolo[1,2-a]pyrazine-1,9(2H,6H)-dione","8-(4-fluorobenzyl)-2-(4-pyridinylmethyl)-10-toluenesulfonyloxy-3,4,7,8-tetrahydropyrido-[3′,4′:4,5]pyrrolo[1,2-a]pyrazine-1,9(2H,6H)-dione"
REACTANT,REACTANT,sodium methoxide,sodium methoxide
SOLVENT,SOLVENT,methanol,methanol
REACTANT,REACTANT,ethyl iodide,ethyl iodide
REACTANT,REACTANT,potassium carbonate,potassium carbonate
REACTANT,REACTANT,2-fluoronitrobenzene,2-fluoronitrobenzene
REACTANT,REACTANT,ice water,ice water
REACTANT,REACTANT,thiosalicylic acid,thiosalicylic acid
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,REACTANT,isatin,isatin
REACTANT,REACTANT,benzhydrazide,benzhydrazide
REACTANT,REACTANT,phenylethynylmagnesium bromide,phenylethynylmagnesium bromide
SOLVENT,SOLVENT,THF,THF
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,4-acetylpiperidine-1-carboxylic acid tert-butyl ester,4-acetylpiperidine-1-carboxylic acid tert-butyl ester
REACTANT,COMPOUND_MISSING,solution,COMPOUND_MISSING
REACTANT,REACTANT,ethyl acetate,ethyl acetate
REACTANT,REACTANT,(3S)-3-(4-methoxybenzylthio)pyrrolidine,(3S)-3-(4-methoxybenzylthio)pyrrolidine
SOLVENT,SOLVENT,acetonitrile,acetonitrile
REACTANT,REACTANT,formaldehyde,formaldehyde
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,acetic acid,acetic acid
REACTANT,REACTANT,alcohol,alcohol
REACTANT,REACTANT,sodium hydride,sodium hydride
REACTANT,REACTANT,methyl iodide,methyl iodide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,"6-(2-(Benzyloxy)-4-bromo-6-methoxyphenyl)-N-methyl-N-(2,2,6,6-tetramethylpiperidin-4-yl)pyridazin-3-amine","6-(2-(Benzyloxy)-4-bromo-6-methoxyphenyl)-N-methyl-N-(2,2,6,6-tetramethylpiperidin-4-yl)pyridazin-3-amine"
REACTANT,REACTANT,"4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole","4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole"
REACTANT,REACTANT,"3,4-difluoroaniline","3,4-difluoroaniline"
REACTANT,REACTANT,ethyl pyruvate,ethyl pyruvate
REACTANT,REACTANT,compound 10,Compound 1
REACTANT,REACTANT,acetic anhydride,borohydride
REACTANT,REACTANT,Compound 9,Compound 1
SOLVENT,COMPOUND_MISSING,hexane,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,sulfone,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,compound 8,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,n-BuLi,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,ethyl acetate,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,compound 11,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,pyridinium chlorochromate,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,compound 10,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,pyridine,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,hexane,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,hexane,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,imidazole,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,ethyl acetate,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,compound 10,COMPOUND_MISSING
CATALYST,COMPOUND_MISSING,sodium amalgam,COMPOUND_MISSING
REACTANT,COMPOUND_MISSING,pyridinium p-toluene sulfonate,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,compound 9,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,ethyl acetate,COMPOUND_MISSING
REACTANT,REACTANT,(4-trifluoromethyl-phenyl)-acetic acid hydrazide,(4-trifluoromethyl-phenyl)-acetic acid hydrazide
REACTANT,REACTANT,4-isothiocyanato-N-thiazol-2-yl-benzenesulfonamide,4-isothiocyanato-N-thiazol-2-yl-benzenesulfonamide
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,hydrochloric acid,hydrochloric acid
SOLVENT,REACTANT,Ethyl acetate,Ethyl acetate
REACTANT,REACTANT,p-toluenesulfonyl chloride,p-toluenesulfonyl chloride
REACTANT,SOLVENT,pyridine,pyridine
REACTANT,REACTANT,N-(2-oxopropyl)benzamide,N-(2-oxopropyl)benzamide
SOLVENT,SOLVENT,H2SO4,H2SO4
REACTANT,REACTANT,Na2CO3,Na2CO3
REACTANT,REACTANT,ethylene diamine,ethylene diamine
SOLVENT,SOLVENT,MeOH,MeOH
REACTANT,REACTANT,"tert-butyl((2S)-6-nitro-2′-oxo-1′-{[2-(trimethylsilyl)ethoxy]methyl}-1,1′,2′,3-tetrahydrospiro[indene-2,3′-pyrrolo[2,3-b]pyridin]-5-yl)acetate","tert-butyl((2S)-6-nitro-2′-oxo-1′-{[2-(trimethylsilyl)ethoxy]methyl}-1,1′,2′,3-tetrahydrospiro[indene-2,3′-pyrrolo[2,3-b]pyridin]-5-yl)acetate"
REACTANT,REACTANT,HCl,HCl
REACTANT,REACTANT,NaOH,NaOH
REACTANT,REACTANT,NaOH,NaOH
REACTANT,REACTANT,2-amino-4-fluoro-N-(1H-indazol-6-yl)-5-nitrobenzamide,2-amino-4-fluoro-N-(1H-indazol-6-yl)-5-nitrobenzamide
REACTANT,REACTANT,2-chloro-4-fluoro-N-(1H-indazol-6-yl)-5-nitrobenzamide,2-chloro-4-fluoro-N-(1H-indazol-6-yl)-5-nitrobenzamide
REACTANT,REACTANT,NH4OH,NH4OH
SOLVENT,SOLVENT,dioxane,dioxane
SOLVENT,COMPOUND_MISSING,water,COMPOUND_MISSING
REACTANT,REACTANT,(6-(benzyloxy)pyridin-2-yl)(5-methylthiazol-2-yl)methanone,(6-(benzyloxy)pyridin-2-yl)(5-methylthiazol-2-yl)methanone
REACTANT,REACTANT,acetic acid,acetic acid
REACTANT,REACTANT,H2O,H2O
REACTANT,SOLVENT,ethanol,ethanol
SOLVENT,SOLVENT,THF,THF
CATALYST,CATALYST,Pd/C,Pd/C
SOLVENT,REACTANT,water,water
REACTANT,REACTANT,(RS)-2-(2-buten-1-yl)-6-hydroxy-1-indanone,(RS)-2-(2-buten-1-yl)-6-hydroxy-1-indanone
REACTANT,REACTANT,ethyl bromide,ethyl bromide
REACTANT,REACTANT,potassium carbonate,potassium carbonate
REACTANT,REACTANT,"N,N-dimethyl-formamide","N,N-dimethyl-formamide"
SOLVENT,SOLVENT,acetone,acetone
REACTANT,REACTANT,sodium bicarbonate,sodium bicarbonate
SOLVENT,SOLVENT,pyridine,pyridine
SOLVENT,SOLVENT,pyridine,pyridine
REACTANT,REACTANT,bis(trichloromethyl)carbonate,bis(trichloromethyl)carbonate
REACTANT,REACTANT,cyclobutyl alcohol,cyclobutyl alcohol
SOLVENT,SOLVENT,dichloromethane,dichloromethane
REACTANT,REACTANT,compound,compound
REACTANT,REACTANT,Nipecotic acid,Nipecotic acid
REACTANT,REACTANT,acetic anhydride,acetic anhydride
SOLVENT,SOLVENT,DME,DME
REACTANT,REACTANT,"2-Bromo-1,3-thiazole","2-Bromo-1,3-thiazole"
REACTANT,REACTANT,Triethylamine,Triethylamine
CATALYST,REACTANT,PdCl2(PPh3)2,PdCl2(PPh3)2
REACTANT,REACTANT,2-methyl-3-butyne-2-ol,2-methyl-3-butyne-2-ol
CATALYST,COMPOUND_MISSING,CuI,COMPOUND_MISSING
REACTANT,REACTANT,1-(di-1-pyrrolidinylmethylene)-1H-benzotriazolium 3-oxide hexafluorophosphate,1-(di-1-pyrrolidinylmethylene)-1H-benzotriazolium 3-oxide hexafluorophosphate
SOLVENT,SOLVENT,ice water,ice water
REACTANT,REACTANT,"4-(9-cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-ylamino)-3-methoxy-benzoic acid","4-(9-cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5H-pyrimido[4,5-b][1,4]diazepin-2-ylamino)-3-methoxy-benzoic acid"
REACTANT,REACTANT,ethyldiisopropyl amine,ethyldiisopropyl amine
REACTANT,REACTANT,"2,2,6,6-tetramethyl-piperidin-4-ylamine","2,2,6,6-tetramethyl-piperidin-4-ylamine"
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
REACTANT,REACTANT,1-iodo-2-methylpropane,1-iodo-2-methylpropane
REACTANT,REACTANT,"5-cyclohexyl-1,3-dihydro-3(R,S)-[ (benzyloxycarbonyl)amino]-2H-1,4-benzodiazepin-2-one","5-cyclohexyl-1,3-dihydro-3(R,S)-[ (benzyloxycarbonyl)amino]-2H-1,4-benzodiazepin-2-one"
REACTANT,REACTANT,sodium hydride,sodium hydride
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,diisopropylamine,diisopropylamine
REACTANT,REACTANT,n-butyllithium,n-butyllithium
REACTANT,REACTANT,"3,5-difluoropicolinonitrile","3,5-difluoropicolinonitrile"
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,dry ice acetone,dry ice acetone
REACTANT,REACTANT,I2,I2
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,4-(3-aminomethylphenyl)-1-(4-fluorophenyl)-3-[3-(4-fluorophenyl)-3-hydroxypropyl]azetidin-2-one,4-(3-aminomethylphenyl)-1-(4-fluorophenyl)-3-[3-(4-fluorophenyl)-3-hydroxypropyl]azetidin-2-one
REACTANT,REACTANT,"{2-[2-(2,3,4,5,6-pentahydroxyhexanoylamino)ethoxy]ethoxy}acetic acid","{2-[2-(2,3,4,5,6-pentahydroxyhexanoylamino)ethoxy]ethoxy}acetic acid"
REACTANT,REACTANT,diisopropylcarbodiimide,diisopropylcarbodiimide
REACTANT,REACTANT,hydroxybenzotriazole,hydroxybenzotriazole
SOLVENT,SOLVENT,dimethylformamide,dimethylformamide
REACTANT,REACTANT,N-(4-methanesulfonylamino-2-sulfamoyl-phenyl)-malonamic acid methyl ester,N-(4-methanesulfonylamino-2-sulfamoyl-phenyl)-malonamic acid methyl ester
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,SOLVENT,hydrochloric acid,hydrochloric acid
REACTANT,REACTANT,4-trifluoromethylbenzoic acid,4-trifluoromethylbenzoic acid
REACTANT,REACTANT,thionyl chloride,thionyl chloride
REACTANT,REACTANT,"4-[(2,2-dimethylpropyl)(2-oxoethyl)amino]-2-(trifluoromethyl)benzonitrile","4-[(2,2-dimethylpropyl)(2-oxoethyl)amino]-2-(trifluoromethyl)benzonitrile"
REACTANT,REACTANT,2-methyl-2-butene,2-methyl-2-butene
REACTANT,REACTANT,NaClO2,NaClO2
SOLVENT,SOLVENT,t-BuOH,t-BuOH
SOLVENT,REACTANT,NaH2PO4,NaH2PO4
REACTANT,COMPOUND_MISSING,NaOH,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,Water,COMPOUND_MISSING
REACTANT,REACTANT,indole,boron trichloride
REACTANT,REACTANT,chloromethylketone,"2,3-dimethylaniline"
REACTANT,REACTANT,H2O,HCl
REACTANT,REACTANT,NaBH4,2-chloroacetonitrile
REACTANT,SOLVENT,dioxane,toluene
REACTANT,REACTANT,5D,5D
REACTANT,REACTANT,"2-isopropyl-2-nitro-1,3-propanediol","2-isopropyl-2-nitro-1,3-propanediol"
REACTANT,REACTANT,"N-{4-[2-(4-{[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]methyl}phenyl)ethyl]-5-[4-(methylsulfonyl)phenyl]-1,3-thiazol-2-yl}acetamide","N-{4-[2-(4-{[(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)oxy]methyl}phenyl)ethyl]-5-[4-(methylsulfonyl)phenyl]-1,3-thiazol-2-yl}acetamide"
REACTANT,REACTANT,methylhydrazine,methylhydrazine
SOLVENT,SOLVENT,"N,N-dimethylformamide","N,N-dimethylformamide"
REACTANT,SOLVENT,sodium hydrogen sulphate,sodium hydrogen sulphate
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,Hydroxybenzotriazole,Hydroxybenzotriazole
REACTANT,REACTANT,N-(3-dimethylaminopropyl)-N′-ethylcarbodiimide hydrochloride,N-(3-dimethylaminopropyl)-N′-ethylcarbodiimide hydrochloride
REACTANT,REACTANT,2-aminoethanesulfonic acid,2-aminoethanesulfonic acid
REACTANT,REACTANT,diisopropylethylamine,diisopropylethylamine
REACTANT,REACTANT,4-[1-(4-tert-Butylphenyl)-3-(3-methylsulfonyl-4-methylphenyl)ureidomethyl]benzoic acid,4-[1-(4-tert-Butylphenyl)-3-(3-methylsulfonyl-4-methylphenyl)ureidomethyl]benzoic acid
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,6-chloro-2-ethoxy-benzothiazole,6-chloro-2-ethoxy-benzothiazole
REACTANT,REACTANT,hydrochloric acid,hydrochloric acid
SOLVENT,SOLVENT,toluene,toluene
REACTANT,REACTANT,Benzylamine,Benzylamine
REACTANT,REACTANT,4-(4-chlorosulfonylmethyl-benzyl)-nitrobenzene,4-(4-chlorosulfonylmethyl-benzyl)-nitrobenzene
SOLVENT,SOLVENT,tetrahydrofuran,tetrahydrofuran
REACTANT,REACTANT,potassium carbonate,potassium carbonate
REACTANT,REACTANT,"tert-butyl (3R)-6-cyclohexyl-3-(3-{[(2-methoxy-2-oxoethyl)amino]carbonyl}-1,2,4-oxadiazol-5-yl)hexanoate","tert-butyl (3R)-6-cyclohexyl-3-(3-{[(2-methoxy-2-oxoethyl)amino]carbonyl}-1,2,4-oxadiazol-5-yl)hexanoate"
REACTANT,REACTANT,iodomethane,iodomethane
REACTANT,REACTANT,cesium carbonate,cesium carbonate
SOLVENT,SOLVENT,dimethylsulphoxide,dimethylsulphoxide
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,dimethyl-3-nitrobiphenyl-4-malonate,dimethyl-3-nitrobiphenyl-4-malonate
SOLVENT,SOLVENT,hydrochloric acid,hydrochloric acid
REACTANT,REACTANT,sodium octadecenyl 2-hydroxy-3-chloropropyl phosphate,sodium octadecenyl 2-hydroxy-3-chloropropyl phosphate
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,sodium hydroxide ethanol,sodium hydroxide ethanol
REACTANT,REACTANT,isopropanol,isopropanol
REACTANT,REACTANT,NADP+,NADP+
SOLVENT,COMPOUND_MISSING,acetone,COMPOUND_MISSING
REACTANT,REACTANT,KOH,KOH
SOLVENT,SOLVENT,ethanol,ethanol
SOLVENT,REACTANT,water,water
REACTANT,REACTANT,3-dimethylamino-2-methyl-aniline,3-dimethylamino-2-methyl-aniline
REACTANT,REACTANT,KSCN,KSCN
REACTANT,REACTANT,benzoylchloride,benzoylchloride
SOLVENT,SOLVENT,acetone,acetone
SOLVENT,SOLVENT,water,water
REACTANT,COMPOUND_MISSING,ice,COMPOUND_MISSING
SOLVENT,COMPOUND_MISSING,ethanol,COMPOUND_MISSING
REACTANT,REACTANT,"Ethyl trans-4-{2-fluoro-1-hydroxy-1-[5-(3-methyl-5-{[4-(trifluoromethyl)-pyrimidin-2-yl]amino}phenyl)-1,3-thiazol-2-yl]ethyl}cyclohexanecarboxylate","Ethyl trans-4-{2-fluoro-1-hydroxy-1-[5-(3-methyl-5-{[4-(trifluoromethyl)-pyrimidin-2-yl]amino}phenyl)-1,3-thiazol-2-yl]ethyl}cyclohexanecarboxylate"
REACTANT,REACTANT,HCl,HCl
SOLVENT,SOLVENT,DMSO,DMSO
REACTANT,REACTANT,methyl 8-chloro-1-cyclopropyl-9-methoxy-4-oxo-4H-quinolizine-3-carboxylate,methyl 8-chloro-1-cyclopropyl-9-methoxy-4-oxo-4H-quinolizine-3-carboxylate
REACTANT,REACTANT,2-aminopyridine-5-boronic acid pinacol ester,2-aminopyridine-5-boronic acid pinacol ester
REACTANT,REACTANT,Tributylphosphine,Tributylphosphine
REACTANT,REACTANT,"2-(2,6-diethyl-4-hydroxy-2,3,6-trimethyl-piperidine-1-yloxy)-propionic acid 3-bromo-propyl ester","2-(2,6-diethyl-4-hydroxy-2,3,6-trimethyl-piperidine-1-yloxy)-propionic acid 3-bromo-propyl ester"
SOLVENT,SOLVENT,acetonitrile,acetonitrile
REACTANT,REACTANT,Li2CuCl4,Li2CuCl4
REACTANT,REACTANT,cyclopentylmagnesium bromide,cyclopentylmagnesium bromide
SOLVENT,SOLVENT,THF,THF
REACTANT,REACTANT,(R)-methyl oxirane-2-carboxylate,(R)-methyl oxirane-2-carboxylate
REACTANT,REACTANT,2-chlorothioanisole,2-chlorothioanisole
SOLVENT,SOLVENT,chloroform,chloroform
REACTANT,REACTANT,ethyl chlorooxoacetate,ethyl chlorooxoacetate
SOLVENT,SOLVENT,chloroform,chloroform
REACTANT,REACTANT,aluminum trichloride,aluminum trichloride
SOLVENT,SOLVENT,chloroform,chloroform
REACTANT,REACTANT,water,water
REACTANT,REACTANT,"2,3,4,5,6-pentafluorobenzyl bromide","2,3,4,5,6-pentafluorobenzyl bromide"
REACTANT,REACTANT,2-mercaptobenzimidazole,2-mercaptobenzimidazole
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,O-2-[Z-5-fluoro-2-methyl-1-(4-methylthiophenyl)methylene-1H-inden-3-yl]ethyl hydroxylamine,O-2-[Z-5-fluoro-2-methyl-1-(4-methylthiophenyl)methylene-1H-inden-3-yl]ethyl hydroxylamine
REACTANT,REACTANT,5-formyltetrazole,5-formyltetrazole
REACTANT,REACTANT,water,water
REACTANT,REACTANT,2-fluoro-benzonitrile,2-fluoro-benzonitrile
REACTANT,REACTANT,1-methyl-piperidin-4-ol,1-methyl-piperidin-4-ol
SOLVENT,SOLVENT,dioxane,dioxane
REACTANT,REACTANT,NaH,NaH
REACTANT,REACTANT,Stannous chloride dihydrate,Stannous chloride dihydrate
REACTANT,REACTANT,"1-(3-chloro-4-nitro-phenyl)-4-(4,6-dimethyl-pyridin-2-yl)-piperazine","1-(3-chloro-4-nitro-phenyl)-4-(4,6-dimethyl-pyridin-2-yl)-piperazine"
SOLVENT,SOLVENT,ethyl acetate,ethyl acetate
SOLVENT,SOLVENT,ethanol,ethanol
REACTANT,REACTANT,triethylamine,triethylamine
REACTANT,REACTANT,"1-hydroxy-2-ethoxycarbonyl-5-t-butyldiphenylsilyloxy-1,2,3,4-tetrahydronaphthalene","1-hydroxy-2-ethoxycarbonyl-5-t-butyldiphenylsilyloxy-1,2,3,4-tetrahydronaphthalene"
REACTANT,REACTANT,KHSO4,KHSO4
SOLVENT,SOLVENT,toluene,toluene
REACTANT,REACTANT,5-acetylamino-2-di-n-propylamino-tetraline,5-acetylamino-2-di-n-propylamino-tetraline
REACTANT,REACTANT,allylbromide,allylbromide
SOLVENT,SOLVENT,CH2Cl2 MeOH,CH2Cl2 MeOH
REACTANT,REACTANT,"6,8-Dichloro-4-(3-chloro-propyl)-7-ethyl-4H-benzo[1,4]oxazin-3-one","6,8-Dichloro-4-(3-chloro-propyl)-7-ethyl-4H-benzo[1,4]oxazin-3-one"
REACTANT,REACTANT,K2CO3,K2CO3
REACTANT,REACTANT,NaI,NaI
REACTANT,REACTANT,4-butylpiperidine,4-butylpiperidine
REACTANT,COMPOUND_MISSING,( 95MF52(2226) ),COMPOUND_MISSING
REACTANT,REACTANT,BOP-Cl,BOP-Cl
SOLVENT,REACTANT,water,hydrazine hydrate
SOLVENT,SOLVENT,ACN,ACN
REACTANT,REACTANT,DCM,HCl
REACTANT,REACTANT,"2-(6-(2-(2,4-difluorophenyl)-6,7-dihydro-5H-pyrrolo[1,2-a]imidazol-3-yl)-[1,2,4]triazolo[4,3-b]pyridazin-3-yl)propan-2-amine","2-(6-(2-(2,4-difluorophenyl)-6,7-dihydro-5H-pyrrolo[1,2-a]imidazol-3-yl)-[1,2,4]triazolo[4,3-b]pyridazin-3-yl)propan-2-amine"
REACTANT,SOLVENT,DCM,DCM
REACTANT,CATALYST,DIPEA,DIPEA
REACTANT,REACTANT,ice water,ice water
REACTANT,REACTANT,ethyl 5-[(2-pyrrolidinyl)methylamino]pyridine-2 carboxylate,ethyl 5-[(2-pyrrolidinyl)methylamino]pyridine-2 carboxylate
REACTANT,REACTANT,3-methoxy-4-[N′-(2-methylphenyl)ureido]phenylacetic acid,3-methoxy-4-[N′-(2-methylphenyl)ureido]phenylacetic acid
CATALYST,CATALYST,4-DMAP,4-DMAP
SOLVENT,SOLVENT,DMF,DMF
REACTANT,REACTANT,EDC.HCl,EDC.HCl
REACTANT,REACTANT,HCl,HCl
REACTANT,REACTANT,5-ethenyl-3-(2-(S)-pyrrolidinylmethoxy)pyridine,5-ethenyl-3-(2-(S)-pyrrolidinylmethoxy)pyridine
REACTANT,REACTANT,hydrogen chloride,hydrogen chloride
SOLVENT,SOLVENT,Et2O,Et2O
REACTANT,REACTANT,MeOH,MeOH
REACTANT,REACTANT,CI NH3,CI NH3
SOLVENT,SOLVENT,Et2O,Et2O
REACTANT,REACTANT,"(1aS,5aR)-1,1,2-trimethyl-1,1a,5,5a-tetrahydro-3-thia-cyclopropa[a]pentalene-4-carboxylic acid","(1aS,5aR)-1,1,2-trimethyl-1,1a,5,5a-tetrahydro-3-thia-cyclopropa[a]pentalene-4-carboxylic acid"
REACTANT,REACTANT,hydrazinecarboxylic acid benzyl ester,hydrazinecarboxylic acid benzyl ester
REACTANT,REACTANT,DIPEA,DIPEA
REACTANT,REACTANT,TBTU,TBTU
SOLVENT,SOLVENT,DCM,DCM
REACTANT,REACTANT,sodium carbonate,sodium carbonate
REACTANT,REACTANT,5-amino-4-cyano-1-n-propylpyrazole,5-amino-4-cyano-1-n-propylpyrazole
REACTANT,REACTANT,sulphuric acid,sulphuric acid
SOLVENT,SOLVENT,water,water
REACTANT,REACTANT,ice water,ice water
REACTANT,REACTANT,hydrochloric acid,hydrochloric acid
SOLVENT,REACTANT,toluene,toluene
REACTANT,REACTANT,chloroform,chloroform
REACTANT,REACTANT,"(1RS,2SR,6RS,7SR)-10-oxatricyclo[5.2.1.02,6]decane-3,5-dione","(1RS,2SR,6RS,7SR)-10-oxatricyclo[5.2.1.02,6]decane-3,5-dione"
CATALYST,CATALYST,4-dimethylaminopyridine,4-dimethylaminopyridine
REACTANT,COMPOUND_MISSING,"3,5-dimethylbiphen-4-yllead triacetate",COMPOUND_MISSING
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,REACTANT,maleic anhydride,maleic anhydride
REACTANT,REACTANT,sodium hydroxide,sodium hydroxide
REACTANT,REACTANT,acrylic acid,acrylic acid
REACTANT,REACTANT,ammonium persulfate,ammonium persulfate
REACTANT,REACTANT,hydrogen peroxide,hydrogen peroxide
REACTANT,COMPOUND_MISSING,sodium,COMPOUND_MISSING
REACTANT,REACTANT,( 7 ),( 7 )
REACTANT,REACTANT,( 15 ),( 15 )
REACTANT,REACTANT,( 100 ),( 100 )
REACTANT,REACTANT,( 6 ),( 6 )
REACTANT,REACTANT,( 21 ),( 21 )
REACTANT,REACTANT,"2,4-Dichloro-3-methoxycarbonylbenzoylchloride","2,4-Dichloro-3-methoxycarbonylbenzoylchloride"
REACTANT,SOLVENT,methanol,methanol
REACTANT,REACTANT,5-bromo-6-nitro-indan-1-one,5-bromo-6-nitro-indan-1-one
REACTANT,REACTANT,vinylboronic acid dibutyl ester,vinylboronic acid dibutyl ester
REACTANT,REACTANT,Na2CO3,Na2CO3
CATALYST,CATALYST,Pd(PPh3)2Cl2,Pd(PPh3)2Cl2
SOLVENT,SOLVENT,THF H2O,THF H2O
REACTANT,REACTANT,"2-(3-cyclopropyl-5-fluoro-phenyl)-4,4,5,5-tetramethyl-[1,3,2]dioxaborolane","2-(3-cyclopropyl-5-fluoro-phenyl)-4,4,5,5-tetramethyl-[1,3,2]dioxaborolane"
REACTANT,REACTANT,5-chloro-3-(2-methyl-imidazol-1-yl-methyl)-pyridazine,5-chloro-3-(2-methyl-imidazol-1-yl-methyl)-pyridazine
REACTANT,REACTANT,sodium hydrogencarbonate,sodium hydrogencarbonate
REACTANT,REACTANT,Triethylamine,Triethylamine
REACTANT,REACTANT,methanesulfonyl chloride,methanesulfonyl chloride
