reaction_id,COMPOUND__n_ref,COMPOUND__n_inf,COMPOUND__n_removal,COMPOUND__n_addition,COMPOUND__n_alteration_strict,COMPOUND__n_alteration_nonstrict,COMPOUND__n_intact_strict,COMPOUND__n_intact_nonstrict,PRODUCT_COMPOUND__n_ref,PRODUCT_COMPOUND__n_inf,PRODUCT_COMPOUND__n_removal,PRODUCT_COMPOUND__n_addition,PRODUCT_COMPOUND__n_alteration_strict,PRODUCT_COMPOUND__n_alteration_nonstrict,PRODUCT_COMPOUND__n_intact_strict,PRODUCT_COMPOUND__n_intact_nonstrict,REACTION_CONDITIONS__n_ref,REACTION_CONDITIONS__n_inf,REACTION_CONDITIONS__n_removal,REACTION_CONDITIONS__n_addition,REACTION_CONDITIONS__n_alteration_strict,REACTION_CONDITIONS__n_alteration_nonstrict,REACTION_CONDITIONS__n_intact_strict,REACTION_CONDITIONS__n_intact_nonstrict,REACTION_WORKUP__n_ref,REACTION_WORKUP__n_inf,REACTION_WORKUP__n_removal,REACTION_WORKUP__n_addition,REACTION_WORKUP__n_alteration_strict,REACTION_WORKUP__n_alteration_nonstrict,REACTION_WORKUP__n_intact_strict,REACTION_WORKUP__n_intact_nonstrict
ord-3b1ac81a445c41f49ddba6c970560021,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-830cea4a195e41c5ad2e971c1fb3bbe4,8,9,0,1,3,0,5,8,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-05fd37cab0194f919b68cf53d3a6ab6d,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-134d1966baa54bd696e76c9e1e89256a,6,6,0,0,1,1,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,7,6,1,0,0,0,6,6
ord-6af32ca2635141ed8b014e6444daca2b,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-e9df7711de3743019af0dc039fc45bf7,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-0de68d68f0ba40eb9b10de08fa5fb46a,6,4,2,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,8,4,4,0,0,0,4,4
ord-6c748b5b1e674c0b862ae067754ee53b,8,7,1,0,3,0,4,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-bed2fea675024cb2a0f4c8546e4deaba,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-d5946a6c1fa54f6e94e274033d09d9d7,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-6b41f4064bc84609be7c07635219594d,9,7,2,0,1,0,6,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,14,15,0,1,0,0,14,14
ord-d18c39640c1c44859bc1ab321af1ca52,7,9,0,2,0,0,7,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,10,10,0,0,1,1,9,9
ord-bffd9427064a4b90b8f7c32b112a1f00,4,4,0,0,1,1,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,5,4,1,0,0,0,4,4
ord-b1e50244d58340639ac79908373de939,7,7,0,0,1,1,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,7,7,0,0,1,1,6,6
ord-880419ce0aa741518990f162602e2baa,3,3,0,0,0,0,3,3,2,2,0,0,1,1,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-8f6ce558e42143b9b2cbc88429b893d9,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-627676dde9e64d3195f64f3737791f2b,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-009f2f89178e4d8eb589db7c413bd707,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-c256186505db46308bddde50bd54ec32,3,2,1,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-f48a7cfd31564d4bb715fd711177075c,8,7,1,0,0,0,7,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-74b1d0be33b946349a9ba37fff39e8c5,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-9feba1cb89814b4f935341bb7ada5a2d,6,4,2,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,12,12,0,0,0,0,12,12
ord-e6928cab26d14140abfb4d19f912ec65,5,5,0,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-370277800e364431bceaee25882b572b,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-ca9541b86dd54df3bca02c30220b3470,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-ee38e8e04f204210bbc972e8c38fd627,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,1,1,0,0,0,1,1
ord-85fb5a1b834c486e98fd15d8a20ddb41,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-e9fc694eb9514f36aa3bb37243bc0c2a,5,5,0,0,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-afed6041c46642bfab10f8d81d5b844d,8,8,0,0,0,0,8,8,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-942f4598d331407a8c700dcd3b174e4e,7,3,4,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-aef1631f2fb14dbca758c73910ddc223,6,6,0,0,0,0,6,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-d41bb63615714bd8b0fee4b3ee9da93c,4,3,1,0,2,1,1,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,11,12,0,1,1,1,10,10
ord-931a482587134672be1326ce3172d68f,5,5,0,0,1,0,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-f7027af75a864385b6ed2b3a6210bce6,5,4,1,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,7,6,1,0,1,1,5,5
ord-69ab1c43d24f4836a116b555dc44ef65,5,7,0,2,4,0,1,5,2,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
ord-3eb4b78a10954d128463963e1cb53f00,4,4,0,0,0,0,4,4,2,2,0,0,1,1,1,1,1,1,0,0,0,0,1,1,8,7,1,0,0,0,7,7
ord-4a8d7a0eca5349c2b12420a87cc284dc,6,5,1,0,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-accb97eefc7a47948688ea9e5021ea19,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2
ord-26d36988725e4d1dbbb1285d158ddc22,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-f36cdfd9af5d483b977dd52eedda5c4d,6,6,0,0,1,0,5,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
ord-8a10607bbfb74f95a5f0b82bfbc69913,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-97b2eacca48f4fa5a7262a1836bb0cc0,5,5,0,0,1,0,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-593f54678d7349dc97db5c569e95d795,7,7,0,0,1,1,6,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,6,1,0,2,2,4,4
ord-a5825f9fed0f4d558d33325b6f29ef6c,7,5,2,0,2,0,3,5,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,14,15,0,1,4,4,10,10
ord-6130805c46bf49e1abf9e596ced7a096,3,3,0,0,1,0,2,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9,10,0,1,2,2,7,7
ord-fa2f5df5b13c4b5aa3db0017f1839f17,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-b59ebcd8b33c44d38d4cc91f5700939f,6,6,0,0,1,1,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-68bdbc6c635d484f94df78bc9ed2ddb4,5,4,1,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-2b7a77ded1d942b688d3a870805edb11,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,5,0,1,1,1,3,3
ord-f79dbd5a05f64c40838cd993c3b0f486,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,1,1,4,4
ord-721c021cf296420493a240630607f113,3,3,0,0,1,0,2,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,3,1,0,0,0,3,3
ord-f346b66ca0f74710856de359163131a4,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,7,0,1,0,0,6,6
ord-bfaaecdf643f4e65b8ce74447e276553,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-caac41c513394147ab44154ba7131ed8,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-56ce66e72e984e86a4c202acdde71ffd,3,3,0,0,1,0,2,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-d08b6773ac074c61bb2b78adbd3f3a58,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-e575ce1b730c4ee2bd445e4addd081af,6,4,2,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,8,0,1,0,0,7,7
ord-3ed5bc166dec4da4911640a24eae83a2,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-a103be84bbe147c2ace92cde1b6dc954,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,6,1,0,0,0,6,6
ord-1bc8b7b284e34560b9b95bd24b64ca49,6,5,1,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,12,12,0,0,0,0,12,12
ord-a177f58042684e47a89beda14323d67b,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-cfcc1cb3afcd4c26934f214372370fee,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-6461650eb9d2411eb78ab7f2a2d4a455,7,5,2,0,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-a17baeaad4b64adcba5d76fa4d87f51d,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-14c72a6ee09a4930bc514b9742a2ff9c,6,4,2,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
ord-de902c8f2e004452ac78e36cdf22c00a,3,4,0,1,0,0,3,3,1,2,0,1,1,0,0,1,1,1,0,0,0,0,1,1,2,1,1,0,1,1,0,0
ord-92471d2ff74b4244a65192872365eb28,6,4,2,0,4,4,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,8,6,2,0,4,4,2,2
ord-a98d817003a24bafaabbcf5931cf6cca,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-12f488874d2e4af7a28041f46ee0ac7e,4,3,1,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,6,6,0,0,0,0,6,6
ord-4e207b34aa9841a3af25a5dca6a8b1b0,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-73454f710bfe42379b3c5f5563d1db13,7,7,0,0,2,1,5,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,8,7,1,0,0,0,7,7
ord-65cb3c03911a4d0b985975e7f1a7ef22,7,5,2,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,7,9,0,2,0,0,7,7
ord-80a5531666ff48ba805c878e9353540a,7,7,0,0,1,0,6,7,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,1,1,4,4
ord-b004517b0d8a45d8b9785a858c9f66a8,6,6,0,0,0,0,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,4,1,0,1,1,3,3
ord-e39577f6343a4c40baf476ebfc53823d,8,7,1,0,1,0,6,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-806d34ce222041068e19ecb99c005fce,2,2,0,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-b43958d8d6c641ef88860c133ea295e3,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-e13aabdfc3724f96a07d03d5146943d8,4,7,0,3,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,3,1,0,2,2,1,1
ord-b1403f90f13d4195954916c5cb1f97c1,7,7,0,0,1,0,6,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,2,2,5,5
ord-dedc561ebd244235ac9faf8b78884e32,6,6,0,0,1,1,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-b2dbcdc884c5492193381d5e9cb335ce,4,4,0,0,2,0,2,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,10,0,1,0,0,9,9
ord-f29a71b4e2364b4a970bfc6e83405bea,5,4,1,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-477d37d146394e5b95cff4b7ea8d5daa,2,2,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-37a1ee61025c466a97a9ff30a4315e31,9,9,0,0,1,1,8,8,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,11,10,1,0,1,1,9,9
ord-6d72ce4665de47f686d8b472533923ee,3,3,0,0,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-9c843249ef3f4976accc597d4eacf014,3,4,0,1,0,0,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-68e790c3af764f7181364644ac90d0b7,3,4,0,1,1,0,2,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-1dd9ac8032c249518067f2ea150d3289,4,4,0,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-f44439cecc5041558abd5d5f987873f7,5,6,0,1,1,0,4,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,10,8,2,0,1,1,7,7
ord-44a4dbd912484548a372b20dc6968ef7,5,5,0,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-2a5760aaa3d049789dc0038907f707bb,6,6,0,0,0,0,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,7,0,2,0,0,5,5
ord-04c1366301e14829bd9dca0f06492674,5,5,0,0,2,0,3,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,9,0,1,0,0,8,8
ord-ff394ee272754425a40cf4e1f490dac5,8,10,0,2,1,0,7,8,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-f024d32d1ad948078a233025b706acd2,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-ce303a92e1774a0f9696cc44790655c0,8,7,1,0,0,0,7,7,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-fe4825a425f546a1b2849b214977a74c,7,5,2,0,1,0,4,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,11,0,2,0,0,9,9
ord-db2187d5e659454bac8312bfa8c9dfa5,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-dbbcb9f26df64ca7bb35c3fdc0a55e86,9,7,2,0,1,1,6,6,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,5,4,1,0,2,2,2,2
ord-49c41763ff5440688f3b9e83db8857af,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-59eaba29f00c43f593b321d34aca87a4,3,3,0,0,2,2,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-392f5418a7b44269a27bc95d1fed83bd,4,2,2,0,1,0,1,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,6,0,2,0,0,4,4
ord-c0568a80a4ee453bb4cec5db7b36ab17,6,6,0,0,2,0,4,6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,16,14,2,0,2,2,12,12
ord-2f465867ffa742f99f2d3f856983875b,2,2,0,0,0,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,2,2,7,7
ord-502a2b5d3adb4f68a8c5f44c730e54e6,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-ad49f7b84bbc4d8d9dbf4150bf890d56,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-17341e7bd8f64965b6ced3b1516ef33a,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-7fe8e37a4b354db9b35516945d8fe682,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-fa0d5d6a6a584e849e8e86840e0135c3,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,8,0,0,0,0,8,8
ord-aa182bb2569c4236ac6ad15e870c1378,9,8,1,0,2,1,6,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-a0f141cfae93421a886d22c205c18a45,5,4,1,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,7,8,0,1,0,0,7,7
ord-bd8ba675c2d04ffba4b7908ad75fbfc0,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-90882338ee614929a866a71bfde43d41,7,7,0,0,0,0,7,7,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8,7,1,0,1,1,6,6
ord-0a99f9029b564e7c906dfc69d00e232c,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-5de79c1827174b73bef166904abf7622,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,1,1,2,2
ord-451349e9879e4a7da5409bb5ee6c02be,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-c6697449dced498491c3c04931539fe2,6,6,0,0,0,0,6,6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-a8f2d33ee0c5452aad90ceffb3581de4,5,5,0,0,2,0,3,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,2,3,0,0,0,2,2
ord-dc41dcf7971e435598a0395cac6f01d8,4,2,2,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,15,16,0,1,3,3,12,12
ord-f7d66abdb7754a1583a444f63a302e1b,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-d086856a542b46e58f7d12203d27549c,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-d7a65ba9e5dc4672991d60756f442ae9,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-408a5bd61ec34916b40f294fb56225d7,7,7,0,0,0,0,7,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-39afb4584710432a8940cfc325c4ad3c,5,5,0,0,0,0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,4,3,1,0,0,0,3,3
ord-8daa6c705aeb45f18ecac82f4ff08eb5,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-dac1df96f2f741ad8fd6a325e578d3e8,5,5,0,0,1,0,4,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,8,8,0,0,1,1,7,7
ord-d62e24fb391449afb45247167d6fd925,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-aa9650fc9c704d21a8192ac85d4b127e,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-04122d87d2cd4dc6b9b27433a314d25a,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-45424f0fe44d455f9b0c0c67eea6351f,5,5,0,0,1,0,4,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,7,0,0,0,0,7,7
ord-ad3fb49b57844c22a07f4f82e525d931,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-3de8ddeb5aed44f294a54b00c0913426,4,4,0,0,0,0,4,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,2,5,0,3,0,0,2,2
ord-538548796c7c4edd95110a7d09a7ff22,4,4,0,0,2,0,2,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,3,3,0,0,0,0,3,3
ord-60d7c608f3fa49b0a6b833e2d7b1b31a,4,4,0,0,0,0,4,4,2,2,0,0,1,0,1,2,1,1,0,0,0,0,1,1,4,4,0,0,0,0,4,4
ord-61f4cd57cd8141e4b1090ed046ea2a44,4,4,0,0,1,1,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-75294a8ca3e6409bb55b46a17c3cfa07,4,5,0,1,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-47d2ebd83dee4be2ab64f4863af2de83,4,5,0,1,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,3,0,2,0,0,1,1
ord-b39925a2b4bc4f49b2776fcb51ae0af1,5,5,0,0,0,0,5,5,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,9,9,0,0,0,0,9,9
ord-b095941583084ec7b6bc1e4c67455c6e,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-1c4980a30bde4d3e8e831941d46524ea,4,4,0,0,2,2,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-e8448445d2624764a28da6baebe7e895,5,4,1,0,0,0,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,5,0,0,0,0,5,5
ord-28a333c6f9254612aa286910d0b4000c,3,3,0,0,0,0,3,3,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-73fe1bd8a42244718151f1b701497aec,2,2,0,0,0,0,2,2,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,2,2
ord-9ccbaadd2b024d82ab3e8d104516f49d,3,3,0,0,0,0,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
ord-5241e9796d9f4ca7920a35f5be604fe9,2,2,0,0,0,0,2,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ord-b624738234ee4c278fe7bf9c3da60d59,5,5,0,0,2,0,3,5,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,3,2,1,0,1,1,1,1
ord-e4b130893d4f43c8a4a21be06af0e8a7,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-e04018de9ca4499aab0d14ca1c0f0a4f,5,6,0,1,0,0,5,5,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,10,10,0,0,0,0,10,10
ord-9ea6033519744594a1ff5f1273a1ea2b,4,4,0,0,0,0,4,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,6,6,0,0,0,0,6,6
ord-a522f76f55544d2c920911f7ab9d092b,4,4,0,0,1,1,3,3,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,12,12,0,0,2,2,10,10
ord-e144463b449443ad8ea96c41bd4203b8,9,9,0,0,4,3,5,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,7,6,1,0,0,0,6,6
